date,"Per Capita Personal Income in MDC, FL"
1969-01-01,4134.0
1970-01-01,4607.0
1971-01-01,4892.0
1972-01-01,5352.0
1973-01-01,5985.0
1974-01-01,6446.0
1975-01-01,6662.0
1976-01-01,7053.0
1977-01-01,7633.0
1978-01-01,8533.0
1979-01-01,9399.0
1980-01-01,10466.0
1981-01-01,11426.0
1982-01-01,11997.0
1983-01-01,12733.0
1984-01-01,13708.0
1985-01-01,14438.0
1986-01-01,15029.0
1987-01-01,15868.0
1988-01-01,16710.0
1989-01-01,17809.0
1990-01-01,18338.0
1991-01-01,18645.0
1992-01-01,19201.0
1993-01-01,20157.0
1994-01-01,20596.0
1995-01-01,21486.0
1996-01-01,22183.0
1997-01-01,22855.0
1998-01-01,24191.0
1999-01-01,24971.0
2000-01-01,26614.0
2001-01-01,28286.0
2002-01-01,28979.0
2003-01-01,29640.0
2004-01-01,31747.0
2005-01-01,34110.0
2006-01-01,37092.0
2007-01-01,38340.0
2008-01-01,38190.0
2009-01-01,34817.0
2010-01-01,38214.0
2011-01-01,38971.0
2012-01-01,39667.0
2013-01-01,39271.0
2014-01-01,42064.0
2015-01-01,44430.0
2016-01-01,43920.0
2017-01-01,47813.0
2018-01-01,50022.0
